************* Module generated_code_81
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:3:0: W0311: Bad indentation. Found 2 spaces, expected 4 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:13:0: W0311: Bad indentation. Found 2 spaces, expected 4 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:14:0: W0311: Bad indentation. Found 2 spaces, expected 4 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:15:0: W0311: Bad indentation. Found 4 spaces, expected 8 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:16:0: W0311: Bad indentation. Found 6 spaces, expected 12 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:17:0: W0311: Bad indentation. Found 4 spaces, expected 8 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:18:0: W0311: Bad indentation. Found 6 spaces, expected 12 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:19:0: W0311: Bad indentation. Found 4 spaces, expected 8 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:20:0: W0311: Bad indentation. Found 6 spaces, expected 12 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:21:0: W0311: Bad indentation. Found 4 spaces, expected 8 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:22:0: W0311: Bad indentation. Found 6 spaces, expected 12 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:23:0: W0311: Bad indentation. Found 4 spaces, expected 8 (bad-indentation)
